uniqueID,DELETE_UseName,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,division,state,DELETE_electionDate,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
bishopjulie1998,Julie,Bishop,Julie Isabel,,,,Curtin,WA,3.10.1998,1998-10-3,3,10,1998,No,,,,,,,
blackburndoris1946,Doris,Blackburn,Doris Amelia,,,,Bourke,VIC,28.9.1946,1946-9-28,28,9,1946,No,Defeated,,1949-12-10,1949,12,10,
blackburnmaurice1934,Maurice,Blackburn,Maurice McCrae,,,,Bourke,VIC,15.9.1934,1934-9-15,15,9,1934,No,Defeated,,1943-8-21,1943,8,21,
blacklowarchibald1931,Archibald,Blacklow,Archibald Clifford,,,,Franklin,TAS,19.12.1931,1931-12-19,19,12,1931,No,Defeated,,1934-9-15,1934,9,15,
blackwoodrobert1903,Robert,Blackwood,Robert Officer,,,,Riverina,NSW,16.12.1903,1903-12-16,16,12,1903,No,Voided,,1904-4-13,1904,4,13,
blainadair1934,Adair,Blain,Adair Macalister,,,,Northern Territory,NT,15.9.1934,1934-9-15,15,9,1934,No,Defeated,,1949-12-10,1949,12,10,
blakeleyarthur1917,Arthur,Blakeley,Arthur,,,,Darling,NSW,5.5.1917,1917-5-5,5,5,1917,No,Defeated,,1934-9-15,1934,9,15,
blanchardcecil1983,Cecil,Blanchard,Cecil Allen,,,,Moore,WA,5.3.1983,1983-3-5,5,3,1983,No,Defeated,,1990-3-24,1990,3,24,
blandfrancis1951,Francis,Bland,Francis Armand,,,,Warringah,NSW,28.4.1951,1951-4-28,28,4,1951,No,Retired,,1961-11-2,1961,11,2,
blewettneal1977,Neal,Blewett,Neal,,,,Bonython,SA,10.12.1977,1977-12-10,10,12,1977,No,Resigned,,1994-2-11,1994,2,11,
blundellreginald1919,Reginald,Blundell,Reginald Pole,,,,Adelaide,SA,13.12.1919,1919-12-13,13,12,1919,No,Defeated,,1922-12-16,1922,12,16,
