government,topic,median,upper,lower
6,17,-2.0259967597012887,-0.9549651957091663,-3.3028680913280684
6,18,-1.6476191548770251,-0.5700244184010171,-2.814671071363933
6,19,-2.0837526196166944,-0.998410889266936,-3.190615784138463
6,20,0.5048544495105429,2.297194333062317,-0.584948166205013
6,21,-1.8394826292875472,-0.8549577902370878,-3.053634164594712
6,22,0.8864462308177061,1.9781900408929274,0.0317679496397847
6,23,-2.1290788745923424,-1.0132156542525617,-3.2582473756271346
6,24,-1.783824420202956,-0.6852033064747328,-2.862758275348409
6,25,-2.2140037598208044,-1.1916971161252063,-3.5182823972804718
6,26,-1.9439933268960372,-0.851168020713662,-3.1456865556187488
6,27,-2.2168004048898844,-1.135278962097295,-3.5068659280939354
6,28,-1.6960780078416509,-0.6708126925470893,-2.876472550822646
6,29,-1.8611199343479745,-0.7779314009960618,-3.1347226649150177
6,30,-1.6016462537843044,-0.5286316184838165,-2.859774664235665
6,31,-1.8268613124810749,-0.8343595822299846,-3.1263506184424354
6,32,-1.3966931102466345,-0.2587931434373355,-2.7127797413129997
6,33,-2.097009924818998,-1.0327126714668082,-3.3270114687330583
6,34,-1.0923598736718731,0.9096674799998156,-2.4473287464431532
6,35,-1.8786362533177594,-0.828731539162668,-3.1504440053087683
6,36,-1.4640460972530303,-0.486223490912414,-2.74496997943395
6,37,-1.9440268686908722,-0.7962134978834609,-3.166534596272141
