uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
breretonlaurence1990,Kingsford-Smith,NSW,1990-03-24,24,3,1990,No,Retired,NA,2004-08-31,2004,8,31,Same as Kingsford Smith - name was changed in 2001
bridgesmaxwellcrawford1964,Robertson,NSW,1964-12-05,5,12,1964,Yes,Defeated,NA,1969-10-25,1969,10,25,NA
briggsjamie2008,Mayo,SA,2008-09-06,6,9,2008,Yes,Defeated,NA,2016-07-02,2016,7,2,NA
brimblecombewilfred1951,Maranoa,QLD,1951-04-28,28,4,1951,No,Retired,NA,1966-10-31,1966,10,31,NA
broadandrew2013,Mallee,VIC,2013-09-07,7,9,2013,No,NA,NA,NA,NA,NA,NA,NA
broadbentrussell1990,Corinella,VIC,1990-03-24,24,3,1990,No,Defeated,NA,1993-03-13,1993,3,13,NA
broadbentrussell1990,McMillan,VIC,1996-03-02,2,3,1996,No,Defeated,NA,1998-10-03,1998,10,3,NA
broadbentrussell1990,McMillan,VIC,2004-10-09,9,10,2004,No,NA,NA,NA,NA,NA,NA,NA
brodtmanngai2010,Canberra,ACT,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
broughmalcolm1996,Longman,QLD,1996-03-02,2,3,1996,No,Defeated,NA,2007-11-24,2007,11,24,NA
broughmalcolm1996,Fisher,QLD,2013-09-07,7,9,2013,No,Retired,NA,2016-05-09,2016,5,9,NA
browngeoffrey1949,McMillan,VIC,1949-12-10,10,12,1949,No,Died,NA,1955-10-14,1955,10,14,NA
brownjohn1977,Parramatta,NSW,1977-12-10,10,12,1977,No,Retired,NA,1990-02-19,1990,2,19,NA
brownjoseph1906,Indi,VIC,1906-12-12,12,12,1906,No,Defeated,NA,1910-04-13,1910,4,13,NA
brownneil1969,Diamond Valley,VIC,1969-10-25,25,10,1969,No,Defeated,NA,1972-12-02,1972,12,2,NA
brownneil1969,Diamond Valley,VIC,1975-12-13,13,12,1975,No,Defeated,NA,1983-03-05,1983,3,5,NA
brownneil1969,Menzies,VIC,1984-12-01,1,12,1984,No,Resigned,NA,1991-02-25,1991,2,25,NA
brownbob1980,Hunter,NSW,1980-10-18,18,10,1980,No,Until elected for Charlton,1,1984-12-01,1984,12,1,NA
brownbob1980,Charlton,NSW,1984-12-01,1,12,1984,No,Retired,NA,1998-08-31,1998,8,31,NA
brownthomas1901,Canobolas,NSW,1901-03-29,29,3,1901,No,Until elected for Calare,1,1906-12-12,1906,12,12,NA
brownthomas1901,Calare,NSW,1906-12-12,12,12,1906,No,Defeated,NA,1913-05-31,1913,5,31,NA
brownbillkay1966,Kingston,SA,1966-11-26,26,11,1966,No,Defeated,NA,1969-10-25,1969,10,25,NA
