government,topic,median,upper,lower
11,6,-2.033311654760566,-1.9244643699708117,-2.1533188656326194
11,7,-2.110290183536363,-2.005574370555737,-2.2317823980757936
11,8,-1.255271769860809,-1.1244085770724375,-1.4042253228977724
11,9,-1.784313459015065,-1.6827991983121096,-1.9032636776267537
11,10,-1.6580191902171648,-1.5499163080788394,-1.7861250444385934
11,11,-1.3236890212673096,-1.213464023390304,-1.4550224695607261
11,12,-1.7373388372550806,-1.6304859993504275,-1.8564955002772905
11,13,-1.4466625450290274,-1.3406120318696557,-1.5721754725434947
11,14,-0.2972770398446146,-0.195884066199471,-0.4116537658817167
11,15,-0.05103826558345531,0.04876618358054644,-0.15135885727655737
11,16,-1.7862958533383029,-1.6807222246405407,-1.9040796225591412
11,17,-0.5128350823703196,-0.4005074304872717,-0.638800637940079
11,18,-0.9414180683364715,-0.8388294242122702,-1.0487187717912052
12,1,0.1992318975227886,0.3059241735209198,0.07486677304915859
12,2,-1.6409828505505923,-1.5094345987856987,-1.7869381529661315
12,3,-1.8302222947950506,-1.7160657127344272,-1.9642514866032925
12,4,-0.6578913087648535,-0.5119244618149162,-0.8267004551735418
12,5,-0.3997648727394213,-0.30019014895059126,-0.5078671590461115
12,6,-1.9981514689828734,-1.886650651472346,-2.1392797058662003
12,7,-2.0755591732679854,-1.9639601788154302,-2.2207467748296685
12,8,-1.2684723833643612,-1.147057888961798,-1.4394246676060662
12,9,-1.6463846889037685,-1.5197869974103397,-1.8058202911191021
12,10,-1.3646877496364467,-1.2413663091971892,-1.5234747172125829
12,11,-1.3134941843774828,-1.1880492427856462,-1.4644534941562202
12,12,-1.78097492612437,-1.6674398266200934,-1.9209690256650025
12,13,-1.3709979396844383,-1.2489762123739758,-1.5187668607964402
12,14,-0.7470121255743667,-0.637158605731082,-0.8708594656092387
12,15,-0.9712827858548108,-0.8282419966958089,-1.130668318107598
12,16,-1.6812859425687061,-1.5632660724967706,-1.8066510173982517
12,17,-0.19473332604867244,-0.06822149060757746,-0.34816324519179087
12,18,-0.9994538698413655,-0.8722632260606719,-1.1761482540867407
13,1,0.6602436137108864,0.802489649106536,0.48270177896618016
13,2,-1.6754045360428416,-1.5192814839477584,-1.9078371656023794
13,3,-1.869284615998022,-1.7217384363031867,-2.058617990538838
13,4,-0.5794318941540473,-0.32840590151491966,-0.8531435729595691
13,5,-0.5733914602875543,-0.3208596736676983,-0.8278405697493403
13,6,-1.9768987215073732,-1.8196710592164507,-2.1754572707423496
13,7,-2.107938926963608,-1.9483212997309127,-2.297055892135015
13,8,-1.3118337612105995,-1.1559462224804795,-1.5339048857626505
13,9,-1.843341331141668,-1.6710157306827584,-2.0884499582090483
13,10,-1.570241500156663,-1.3932614060363278,-1.809200622438858
13,11,-1.4436020404582286,-1.2074319987287736,-1.7129152482690337
13,12,-1.7666229334400798,-1.6155682012498291,-1.9620781219964585
13,13,-1.6482609285539325,-1.4897573141755347,-1.8632132845462626
13,14,-0.6103833752307277,-0.4689193731987296,-0.8020281143096476
13,15,-1.1531503072250522,-0.887925377333046,-1.437786486477406
13,16,-1.7059193661108296,-1.556432175670789,-1.8878053963020183
13,17,0.004775294059125464,0.15485771510217364,-0.21599147451593265
13,18,-1.127674432885791,-0.9444570443139649,-1.3972868580178723
14,1,0.24292604799456968,0.4476727318584111,0.04451443512853826
