election,topic,median,upper,lower
30,8,-0.06856576534323222,-0.05407848860756554,-0.08358007737632711
30,9,0.0029713558042607944,0.01719716395756857,-0.01100942828040013
30,10,-0.016355255746397693,-0.0029907903780557097,-0.029763433691348803
30,11,-0.03722507713163052,-0.023719297683565777,-0.05180864927560366
30,12,0.061725243688582676,0.0708370958136201,0.05247974052825169
30,13,-0.0011982859903362664,0.012369519151999549,-0.014695297179369677
30,14,-3.5096583154903044e-4,0.013699020667141886,-0.014203609270333926
30,15,-0.01947277242210508,-0.005553670804890012,-0.03437206304331025
30,16,-0.006679310770411044,0.007033303247799316,-0.020560677178131932
30,17,0.016963137506625585,0.029298262493606488,0.004780502591698932
30,18,-0.023271375215585133,-0.009927281120553775,-0.03686717579974047
31,1,-0.019624648778084036,-0.012140237490681334,-0.027164985104370994
31,2,-0.00803063445206323,0.0021187904289402286,-0.017604577254225925
31,3,-6.928650572716397e-4,0.008449898808059478,-0.010001119017150135
31,4,0.008786496751269924,0.01742645765929995,-8.61295219542532e-5
31,5,-0.003717558661624147,0.004069637174760782,-0.011904734740614317
31,6,-0.015743837214967343,-0.006529054883009224,-0.024994684540538464
31,7,-0.007178434181058924,0.002545933510520827,-0.016920205403923815
31,8,-0.015163763939847974,-0.0061749100875162334,-0.024494710041200192
31,9,-3.615635743312725e-4,0.009109729634136251,-0.009830516529792357
31,10,-0.007324333450550168,0.0019365880813420578,-0.016191897620318762
31,11,-0.017741781631406668,-0.008778409941063875,-0.02658560046364135
31,12,0.015893684344959975,0.022627330575977128,0.00942114126943015
31,13,-0.010857883853998385,-0.0014727043873150995,-0.020195582835708208
31,14,-0.00964750076861721,9.303835389043925e-6,-0.01919051670660667
31,15,-5.699892925860395e-4,0.008698962319712318,-0.010183817376093793
31,16,-0.010909027921501403,-0.0015345436537721197,-0.020207393967241204
31,17,0.010644485524161756,0.019074874959878883,0.0025473008637022457
31,18,-0.004478068131327319,0.003994663449841673,-0.013040393744956993
32,1,0.017845945364092217,0.027059582415057768,0.00870735872102224
32,2,-2.0199402741044787e-4,0.013141903807690557,-0.013484023113339419
32,3,0.03263957012612777,0.044460443457966736,0.01995014134352148
32,4,0.0033659093521982487,0.015739844120867992,-0.009288426350556614
32,5,0.01262485261269836,0.02335893056552026,0.0014453796282583428
32,6,-0.003980295087842372,0.008547996414474767,-0.0163380863715223
32,7,-0.0017888089844565434,0.011454516981545515,-0.015784194997375947
32,8,-0.009281738371151314,0.003899905713284245,-0.02257565011370624
32,9,7.426871231587784e-4,0.014132648223032004,-0.012850046889781816
32,10,0.025256562835070728,0.03711873309671055,0.013220303571354366
32,11,-0.005848864128291449,0.006790515125210483,-0.0183744782087114
32,12,-0.02710228898313168,-0.016684828133488042,-0.037640301132100186
32,13,0.009366498245683755,0.021999835294285196,-0.003171560930953408
32,14,0.00336888535086259,0.015884162291664013,-0.009602944956962338
32,15,0.0021299195522092645,0.014658661379038295,-0.011152838272718834
32,16,0.012451086305140193,0.025521220837881737,-2.966621606573352e-4
32,17,0.012195463382169355,0.02342542437231244,7.775379584212211e-4
32,18,0.005212379560505209,0.017284700711693496,-0.0072022806147433675
33,1,-0.04260643944406384,-0.02971955720204761,-0.055634486846296335
33,2,0.05109763023502353,0.06664332695810715,0.034813189063807544
33,3,-0.011955821598737804,0.0036583960765304967,-0.028382340318380356
33,4,-0.028261672049990708,-0.011438033169283072,-0.04505882725414133
33,5,-0.0012688028798298295,0.01295716246829395,-0.016278365035453216
33,6,-4.664550299435222e-4,0.015629246064992705,-0.016599577580426517
33,7,-0.020106918355725464,-0.0030062712604438974,-0.03839774097052466
33,8,0.008076874516831128,0.023715123254838322,-0.008240729080618965
33,9,-0.015858977317560197,0.0014251919930581382,-0.032818169953964325
33,10,-0.0046422117727812715,0.0122612126722233,-0.022239037981973638
33,11,0.012990297800885134,0.028341273243766393,-0.00299841076824456
33,12,0.04521887652234237,0.060311299161233574,0.030446118088119804
33,13,-0.012556412695675378,0.0037215639858206233,-0.03004637906700072
33,14,-0.048958219469069864,-0.03245095203772173,-0.06640482631036625
33,15,-0.011188428123077495,0.004697673717055222,-0.028912504346471773
33,16,0.004497688138548005,0.02189350999480898,-0.013219883064211924
33,17,-0.008380818907704105,0.006465558924076015,-0.02374455033421043
33,18,0.015281735741809424,0.03098121683954842,-4.263855113854832e-4
34,1,0.0142234664751968,0.020452102798072302,0.008075406221049531
34,2,0.002624026434477933,0.01205642286165955,-0.007342794042542677
34,3,-0.006287776116911082,0.0029373565179018615,-0.015488399655538552
34,4,0.007809117506416151,0.017336572061019264,-0.0015794565228190627
34,5,0.005157050799138483,0.013051796994202055,-0.003427333882132078
34,6,0.00600265630669475,0.015561889611076032,-0.003266037434479004
34,7,-3.07498859972792e-4,0.009519890615794129,-0.010474179304977425
34,8,-0.008203147748787871,7.200015033323303e-4,-0.01749836531724922
34,9,-0.008068995873420292,0.0016460638847853846,-0.01800161828725939
34,10,-0.01164831902620158,-0.0023609246538958918,-0.02173401067098259
34,11,-0.004276621492837698,0.004979566667254569,-0.014351275857701445
34,12,-0.0034640072585759175,0.005857217909690606,-0.013014398064465027
34,13,-0.008421694856504909,0.0010982251243087026,-0.018067130716865464
34,14,-0.020405269478230174,-0.011115146096388457,-0.030078756238866113
34,15,-0.002496958353552855,0.006468396396415032,-0.011994487335363723
34,16,-0.00465929469270913,0.004990299064732,-0.01492418871680482
34,17,0.015492662768154586,0.023939632720353543,0.006867706391123574
34,18,0.02114704206820094,0.029579834726534176,0.012576369624985819
35,1,0.007582640122212974,0.012536960088211332,0.0024187785730831446
35,2,-0.0051630510392306275,0.002170625417382752,-0.012471816946309163
35,3,-0.013109726725066204,-0.006092223134609991,-0.020336946748138223
35,4,-0.008184209730013055,-0.0010991770290129704,-0.01512272026557179
35,5,-0.007202013132777714,-9.92973308650824e-4,-0.013567771408650637
35,6,-0.014766726653418532,-0.007175310796953618,-0.022459122692964226
35,7,1.078047599616767e-4,0.00738768214813317,-0.007856711379270912
35,8,-0.00563430257412762,0.0013247536439247754,-0.012855649446010324
35,9,-0.002028612090676754,0.005658805077397897,-0.009620347848646323
35,10,0.0025507932326574146,0.009549130562506628,-0.004735482025993321
35,11,-0.004605789689627284,0.00226054813579269,-0.011903633286251696
35,12,-0.009830885196125464,-0.0026303566864504012,-0.016865103493353906
35,13,-0.006636377998375027,9.002421987432485e-4,-0.014293818132231661
35,14,-0.009926178894672733,-0.0026333118121533296,-0.017423127951398547
35,15,-0.007164359810092063,-2.264337854484081e-4,-0.014469646918759661
35,16,-0.0048757453873990155,0.00237536245014093,-0.012672532760526555
35,17,3.8926435932401635e-4,0.006879457743207392,-0.006228283987797678
35,18,0.0012974660805315885,0.008338469590673686,-0.005609555602657017
36,1,0.008340720376037206,0.012343487377539644,0.004206536479044083
36,2,-0.007492437947575516,-0.0011538281558163797,-0.013792117688717498
36,3,-0.004750062177380322,8.671074604019884e-4,-0.010545864207286766
36,4,0.0035586978592179446,0.009174912810308388,-0.0022164856502983575
36,5,-0.0010568296506369393,0.004112442899938326,-0.006309890165641015
36,6,-0.006227252778915591,-2.353087683506047e-4,-0.012346581631236147
36,7,-0.0027323427039383707,0.0034907675217330956,-0.008957782007040711
36,8,-0.004686535505193952,0.001381473126147414,-0.010837119278190366
36,9,-0.005034654735273354,0.0012116094765303221,-0.01122092981133335
36,10,0.0019936047008097665,0.008066537582866462,-0.004239713779466539
36,11,-0.009239334764267292,-0.0035943904373206105,-0.015589018342418262
36,12,-0.014399783187362517,-0.008291398885766878,-0.02056499820319545
36,13,-0.014070834533101852,-0.0076259566050703885,-0.020334324777358727
36,14,-6.244314957139607e-4,0.005176028662104543,-0.006593099033012325
36,15,0.0075902260151852335,0.01323841667040257,0.001519702176218366
36,16,-0.001874357777359515,0.004107747592171404,-0.008176818011325165
36,17,0.008186087541126175,0.013766162253477049,0.0027915827698563435
36,18,0.009038192278232465,0.014833433664661609,0.003036742730154084
37,1,-0.008431641028196626,-0.002957368640913957,-0.013695758170844952
37,2,6.140434651305986e-4,0.007708520190826248,-0.006516891234508712
37,3,-0.003594431858039025,0.003064334995255022,-0.010189121929540385
37,4,0.006574078036395349,0.013423110165180295,-1.9040366691238948e-4
37,5,-0.0061547254680198536,3.0648820019240307e-4,-0.01248914388263557
37,6,-0.002393331870471297,0.004851827394067005,-0.009867857700298042
37,7,-0.0016290701322226647,0.005331903122021072,-0.008913119215931607
37,8,0.0029873027849628662,0.010005413848229353,-0.00427936078467611
37,9,-0.008257696941182256,-6.63662529882563e-4,-0.015709027911461903
37,10,-0.010301455077160439,-0.0030031505240620884,-0.017702203955143766
37,11,-0.010411678129939749,-0.003134369213464723,-0.01736118166355028
37,12,0.002188890872293987,0.009017977830175182,-0.004695963017762911
37,13,-0.007458110150538452,-2.931446554358441e-4,-0.014976915674004467
37,14,-6.334688207182693e-4,0.0068648523989164175,-0.008167442443779442
37,15,-0.005574643072545035,0.0014571369129655956,-0.012758257709769835
37,16,-0.0059020029514968144,0.0017030163764015795,-0.013352129632567844
37,17,7.675834428421547e-4,0.006969063346739814,-0.005779881314878766
37,18,-0.004010653589833903,0.0027958957061622203,-0.010814053063868973
38,1,0.060382074553278084,0.06656504011356419,0.05425300385653339
38,2,0.005416450094034012,0.01318687217118963,-0.0029190549041374497
38,3,-0.007070129313304781,1.3964726392357054e-4,-0.014148419884520175
38,4,-0.0026718518697516143,0.005049341316495457,-0.010528529476956231
38,5,0.014375785326602688,0.020845820366213647,0.007663888647489465
38,6,-7.088894881963237e-4,0.007328615564075249,-0.009235121734138926
38,7,-0.0275909576901674,-0.019456624487271514,-0.03611446468219911
38,8,-0.01594041352608555,-0.008328808634543336,-0.023860764006664214
38,9,-0.0027784580668168356,0.005575040792379753,-0.011370678458957055
38,10,-0.003135831561867851,0.005111406661700862,-0.011370765684848677
38,11,-0.017995989022023255,-0.010418876299127165,-0.025854796815950584
38,12,0.01371613892520243,0.021536263150288514,0.005855443854686338
38,13,0.002868951949034766,0.011082057847275905,-0.005110919839865886
38,14,0.03685258379387253,0.04372936660008037,0.02977123721208944
38,15,-0.0379438669151983,-0.03011579299385772,-0.0459168268826549
38,16,-0.004387536836771257,0.0036566664010222235,-0.012517965463232358
38,17,0.010122895568978614,0.017316206466037275,0.002787087224259624
38,18,0.005107899259396143,0.012744430827768586,-0.002935579680117494
39,1,0.02009431169741554,0.024721430541416435,0.01546057137927996
39,2,-0.0017475929664616926,0.0033294880850980534,-0.007140973983237623
39,3,0.003205627138606791,0.007755264813887277,-0.0016104735055980305
39,4,-0.00788166016669125,-0.0029019317678504776,-0.013059937930031067
39,5,-0.0020112831646075724,0.002575937419915943,-0.006697384543353231
39,6,-5.845960151149832e-4,0.004498301155529792,-0.00599350429899748
39,7,-0.014851075910907174,-0.009790919434999814,-0.02013211380137575
39,8,-0.016160391345547455,-0.011327322149264494,-0.021364614516846854
39,9,-3.161737617976752e-5,0.005333003230205677,-0.005255193124774411
39,10,-0.006362004063134649,-0.0011317471147878743,-0.011567197588156879
39,11,-0.012004561783310337,-0.006830835216653629,-0.017073395242394686
39,12,8.898290888273246e-4,0.006259705310934898,-0.004481308379381648
39,13,-0.004229872560369404,9.96236157671652e-4,-0.009715416996211123
39,14,-0.0049697092122539775,-1.2285810905716351e-5,-0.010198815787520505
39,15,-0.01580784127498126,-0.010858814235274714,-0.020583547745918633
39,16,-0.0028831069229414623,0.0024598756255149235,-0.008266505992817686
39,17,0.0030228466350282505,0.007751163397323319,-0.0017344436834358834
39,18,-0.003501113121819462,0.0014685033433106344,-0.008715121044729497
