date,Chamber,PdfDocId,chamber_type,URL,file_name
1908-11-18,Legislative Council,HANSARD-290296563-7118,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7118,NSW-1908-11-18-C.pdf
1908-11-17,Legislative Assembly,HANSARD-290296563-3261,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3261,NSW-1908-11-17-A.pdf
1908-11-13,Legislative Assembly,HANSARD-290296563-3260,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3260,NSW-1908-11-13-A.pdf
1908-11-12,Legislative Assembly,HANSARD-290296563-3259,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3259,NSW-1908-11-12-A.pdf
1908-11-12,Legislative Council,HANSARD-290296563-7117,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7117,NSW-1908-11-12-C.pdf
1908-11-11,Legislative Assembly,HANSARD-290296563-3258,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3258,NSW-1908-11-11-A.pdf
1908-11-11,Legislative Council,HANSARD-290296563-7116,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7116,NSW-1908-11-11-C.pdf
1908-11-10,Legislative Assembly,HANSARD-290296563-3257,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3257,NSW-1908-11-10-A.pdf
1908-11-05,Legislative Assembly,HANSARD-290296563-3256,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3256,NSW-1908-11-05-A.pdf
1908-11-05,Legislative Council,HANSARD-290296563-7115,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7115,NSW-1908-11-05-C.pdf
1908-11-04,Legislative Assembly,HANSARD-290296563-3255,A,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-3255,NSW-1908-11-04-A.pdf
1908-11-04,Legislative Council,HANSARD-290296563-7114,C,https://api.parliament.nsw.gov.au/api/hansard/search/daily/searchablepdf/HANSARD-290296563-7114,NSW-1908-11-04-C.pdf
